"","data","networth","weight"
"370","DINA",164896252.2,52.34574
"371","DINA",164647735.6,53.12417
"372","DINA",164477350.4,54.26513
"373","DINA",164347008.6,54.03053
"374","DINA",163973973.2,53.62534
"375","DINA",163682735,53.96655
"376","DINA",163406654.8,52.53767
"377","DINA",163012240.8,53.56136
"378","DINA",162769894.2,54.92624
"379","DINA",162536535,54.57435
"380","DINA",162250302.4,53.78529
"381","DINA",161946326.6,52.88955
"382","DINA",161677487.4,54.15848
"383","DINA",161423233.2,53.48671
"384","DINA",161178607.6,53.12415
"385","DINA",160853008.6,54.08384
"386","DINA",160518131.8,54.03054
"387","DINA",160268505.4,55.33142
"388","DINA",159925264.8,55.28879
"389","DINA",159429235.2,52.93221
"390","DINA",159077880.6,54.43574
"391","DINA",158826983.8,53.39073
"392","DINA",158653877.2,53.48671
"393","DINA",158384578,52.28176
"394","DINA",158051215.4,53.06016
"395","DINA",157760693.4,53.18813
"396","DINA",157402637.4,53.07084
"397","DINA",156906540,51.41802
"398","DINA",156579009.8,53.34808
"399","DINA",156313016.6,54.40374
"400","DINA",156066133.8,53.18813
"401","DINA",155736220.6,55.17151
"402","DINA",155376029.4,53.90256
"403","DINA",154875636.6,53.71063
"404","DINA",154607476.2,54.07317
"405","DINA",154469456,54.08387
"406","DINA",154298838,54.10518
"407","DINA",154116190.4,51.86589
"408","DINA",153885150,53.78529
"409","DINA",153533384.8,53.61466
"410","DINA",153058355.2,53.56136
"411","DINA",152658339.8,54.27578
"412","DINA",152475042.6,52.29241
"413","DINA",152068522.4,54.24381
"414","DINA",151760422.8,53.97721
"415","DINA",151515968.2,54.32911
"416","DINA",150991073.4,53.48671
"417","DINA",150701817.6,54.13718
"418","DINA",150422364.2,52.59099
"419","DINA",150262927,53.48671
"420","DINA",149904149.4,54.32911
"421","DINA",149617869.6,53.8386
"422","DINA",149241804.6,51.84455
"423","DINA",148821149.8,53.18813
"424","DINA",148479982.6,53.34809
"425","DINA",148337950.4,53.43338
"426","DINA",148148678.6,55.01156
"427","DINA",148053826,53.54002
"428","DINA",147826115.6,55.35277
"429","DINA",147501968.6,53.35874
"430","DINA",147292344.8,54.38242
"431","DINA",147113630.2,54.87293
"432","DINA",146856439.4,51.99385
"433","DINA",146571202.2,54.16916
"434","DINA",146375846.8,52.72962
"435","DINA",146050025.4,53.34809
"436","DINA",145801649.6,54.38242
"437","DINA",145508999.2,55.17151
"438","DINA",145344833.6,55.17151
"439","DINA",145148071.4,53.43339
"440","DINA",144797319,54.62769
"441","DINA",144509738.6,54.62769
"442","DINA",144291205.8,53.12415
"443","DINA",143979821,54.32911
"444","DINA",143639891.4,53.16681
"445","DINA",143351565.4,55.58737
"446","DINA",143088417.4,53.12414
"447","DINA",142805431.6,52.88955
"448","DINA",142514456.4,53.83861
"449","DINA",142269274.6,53.18813
"450","DINA",141973132.6,52.99618
"451","DINA",141784801,56.13119
