gperc,nb,thres,sh,avg,total
99.40000153,244647,5760000,0.01599,6137452,1.50151E+12
99.5,245778,6520000,0.01842,7035756,1.72923E+12
99.59999847,245198,7660000,0.022150001,8482077,2.07979E+12
99.69999695,245096,9510000,0.028550001,10935055,2.68014E+12
99.80000305,245307,12600000,0.042130001,16123252,3.95515E+12
99.90000153,24562,21400000,0.00582,22246784,5.46426E+11
99.91000366,24510,23200000,0.00634,24280532,5.95116E+11
99.91999817,24516,25400000,0.00701,26833338,6.57846E+11
99.93000031,24519,28300000,0.00788,30169200,7.39719E+11
99.94000244,24537,32200000,0.00897,34320432,8.4212E+11
99.94999695,24512,37000000,0.01048,40156088,9.84306E+11
99.95999908,24520,43900000,0.01276,48873256,1.19837E+12
99.97000122,24521,54500000,0.0167,63949016,1.56809E+12
99.98000336,24516,76300000,0.025760001,98659336,2.41873E+12
99.98999786,2473,132000000,0.00363,137663552,3.40442E+11
99.99099731,2425,144000000,0.0039,150938464,3.66026E+11
99.99199677,2457,158000000,0.00438,167431264,4.11379E+11
99.99299622,2452,178000000,0.00496,189785392,4.65354E+11
99.9940033,2440,203000000,0.00569,218983824,5.34321E+11
99.99500275,2465,238000000,0.00686,261171584,6.43788E+11
99.9960022,2429,289000000,0.00843,325899456,7.9161E+11
99.99700165,2458,366000000,0.01092,416966976,1.0249E+12
99.9980011,2460,456000000,0.0148,564844224,1.38952E+12
99.99900055,2464,729000000,0.046239998,1760000000,4.33664E+12
